id,created_at,enabled,price_range,average_ticket,takeout_time,delivery_time,minimum_order_value,merchant_zip_code,merchant_city,merchant_state,merchant_country
02c94103-61f3-4906-a4a9-55611db9f28c,2017-01-23T12:52:30.910Z,false,3,60.0,0,50,30.0,14025,RIBEIRAO PRETO,SP,BR
15e7f5fd-090d-47b9-9f14-b6f7fce3c95d,2017-01-20T13:14:48.286Z,true,3,60.0,0,0,30.0,50180,SAO PAULO,SP,BR
33ca5d3d-b99f-404d-84d9-8df8f38a2261,2017-01-23T12:46:33.457Z,true,5,100.0,0,45,10.0,23090,RIO DE JANEIRO,RJ,BR
4927035f-a343-4a65-a9be-945818e2efff,2017-01-20T13:15:04.806Z,true,3,80.0,0,0,18.9,40255,SALVADOR,BA,BR
52feaad8-4961-4afc-8d60-3f29ffd0a7a7,2017-01-20T13:14:27.701Z,true,3,60.0,0,0,25.0,64600,BARUERI,SP,BR
539cb925-52ad-4624-a6d4-b24f002f4067,2017-01-23T12:36:59.158Z,false,1,30.0,0,60,10.0,18030,SOROCABA,SP,BR
5b6a43d0-8e25-4ade-8a38-95f1c2e67189,2017-01-23T12:40:20.431Z,false,1,30.0,0,70,11.0,13208,JUNDIAI,SP,BR
7a6348e5-748c-4d36-92b5-1860a1760f5c,2017-01-20T13:14:31.699Z,true,4,80.0,0,30,24.0,34020,SAO PAULO,SP,BR
8355199d-8a01-4814-b928-0a9eec0c3327,2017-01-20T13:13:05.136Z,false,5,81.0,30,15,10.0,45380,SAO PAULO,SP,BR
85f2e1f2-101b-4b76-b72a-4eca1cfb8b5b,2017-01-20T13:15:57.202Z,false,1,30.0,0,30,0.0,60541,FORTALEZA,CE,BR
889a435f-46f3-4676-9f2c-7b3f3fd34cd0,2017-01-20T13:13:44.122Z,false,1,30.0,0,40,5.0,20051,RIO DE JANEIRO,RJ,BR
947cd11a-20c9-49f7-8c09-b16243e042cb,2017-01-20T13:14:16.929Z,false,2,40.0,0,45,15.0,45630,SAO PAULO,SP,BR
97c713de-792e-47a9-afdb-a2b2a1c50c0f,2017-01-20T13:14:01.417Z,true,3,80.0,0,0,40.0,91740,PORTO ALEGRE,RS,BR
